Baseline 100%T,,Baseline 0%T,,100T,,Baseline 100%T,,Baseline 0%T,,100T1,,Baseline 100%T,,Baseline 0%T,,100T_3,,sampleT,,sample2_T,,Baseline 100%T,,Baseline 0%T,,100R,,sample_R,,sample_bR,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
1000,89.69602966,1000,0.005995055195,1000,99.71987915,1000,89.63259888,1000,0.0008403857355,1000,99.93587494,1000,89.667099,1000,0.007805401459,1000,99.97635651,1000,0.4604326487,1000,0.4305991828,1000,287.4632263,1000,0.03238030896,1000,99.6818161,1000,96.22071075,1000,79.14622498,
999,89.7022171,999,0.005405052565,999,99.6884613,999,89.49502563,999,0.0004494478926,999,100.0943985,999,89.66876984,999,0.01466443762,999,99.79094696,999,0.4551311135,999,0.4268072546,999,287.8492432,999,0.03876783699,999,99.68598175,999,96.18954468,999,79.03799438,
998,89.62996674,998,0.002462549135,998,99.73216248,998,89.54183197,998,0.006029446609,998,99.93399048,998,89.64746857,998,0.001708120224,998,99.94464874,998,0.4714461565,998,0.4377869964,998,287.679657,998,0.02927137911,998,99.69633484,998,96.17736053,998,79.09372711,
997,89.58708954,997,0.003998266533,997,99.80974579,997,89.45642853,997,-0.001592879067,997,100.0481491,997,89.69113159,997,-0.0003383951844,997,99.6397171,997,0.4775290787,997,0.4408780038,997,287.7512817,997,0.03584084287,997,99.68908691,997,96.20735168,997,79.07823944,
996,89.57548523,996,0.006207158789,996,99.79502869,996,89.51799774,996,0.004510312341,996,99.88739777,996,89.62023163,996,0.0008355624159,996,99.93891907,996,0.4757087827,996,0.4389704764,996,287.7202148,996,0.0344668664,996,99.68405914,996,96.17943573,996,79.05197144,
995,89.54896545,995,0.005043386016,995,99.84794617,995,89.51332855,995,0.005209358875,995,99.92707825,995,89.71741486,995,0.002794946777,995,99.83667755,995,0.4786237478,995,0.4441730678,995,287.925354,995,0.03177849948,995,99.69126892,995,96.16733551,995,79.04782104,
994,89.57103729,994,0.0004754831025,994,99.797966,994,89.44197845,994,0.001473795972,994,100.044838,994,89.73600769,994,0.000246467127,994,99.76042175,994,0.4782054424,994,0.4442112148,994,287.711792,994,0.03292127699,994,99.70687866,994,96.16725159,994,79.04753876,
993,89.52845764,993,0.002687211847,993,99.89530182,993,89.49327087,993,0.004642380867,993,100.0065765,993,89.77618408,993,0.003817844437,993,99.76262665,993,0.4760457277,993,0.4457347095,993,288.0576477,993,0.03462858498,993,99.62399292,993,96.1131134,993,79.03224182,
992,89.51230621,992,0.00529115228,992,99.96802521,992,89.4713974,992,0.00312253111,992,100.0337448,992,89.77027893,992,0.005850115791,992,99.79584503,992,0.4758364558,992,0.4476125836,992,287.9347229,992,0.03195067123,992,99.6795578,992,96.14105988,992,79.01228333,
991,89.44595337,991,0.007424476091,991,100.0657578,991,89.48542786,991,0.004317347892,991,100.0250702,991,89.78652191,991,0.004254131112,991,99.72162628,991,0.4854008555,991,0.4445457458,991,288.0256042,991,0.03274259344,991,99.66230774,991,96.09520721,991,79.00913239,
990,89.45595551,990,0.001504633809,990,100.1075974,990,89.47632599,990,0.00421036547,990,100.1192703,990,89.75937653,990,0.006602754816,990,99.60067749,990,0.4830836356,990,0.4496009946,990,288.0756226,990,0.03165776655,990,99.62480164,990,96.11515045,990,78.98296356,
989,89.43081665,989,0.00480523752,989,100.1186829,989,89.52294922,989,0.003640594194,989,100.0549316,989,89.80452728,989,0.006757544819,989,99.73810577,989,0.489975661,989,0.4480887651,989,288.0124512,989,0.03343632445,989,99.64009094,989,96.07785034,989,79.00566864,
988,89.41242981,988,0.002711981768,988,100.1478577,988,89.52177429,988,0.005372291896,988,100.0808029,988,89.80776215,988,0.006200042088,988,99.78485107,988,0.4853323996,988,0.453178525,988,288.0048828,988,0.03150247037,988,99.62747955,988,96.10667419,988,78.98132324,
987,89.38972473,987,0.007710285019,987,100.23806,987,89.56024933,987,0.001574482652,987,100.0761871,987,89.83336639,987,0.006723077036,987,99.7853241,987,0.4943833351,987,0.4552339315,987,288.0318604,987,0.03260809928,987,99.63960266,987,96.07705688,987,78.96652985,
986,89.41885376,986,0.002521197079,986,100.220871,986,89.61972046,986,0.00898144953,986,100.1368408,986,89.79245758,986,0.007008363027,986,99.8813324,986,0.4991886318,986,0.4506629109,986,288.0632324,986,0.03902880102,986,99.62481689,986,96.09338379,986,79.01135254,
985,89.41843414,985,0.004012093879,985,100.3074493,985,89.61035919,985,0.0007602316909,985,100.1458969,985,89.78759003,985,0.004115033429,985,99.90106964,985,0.495806843,985,0.4671810567,985,288.1796875,985,0.03554925323,985,99.61930084,985,96.05767059,985,78.95079041,
984,89.43449402,984,0.002037719591,984,100.2892838,984,89.74097443,984,0.005633514374,984,100.0696793,984,89.76006317,984,0.008093707263,984,100.0076675,984,0.5010774732,984,0.4575611055,984,288.1469116,984,0.03394000977,984,99.60197449,984,96.04084778,984,78.96427917,
983,89.47355652,983,0.006879448425,983,100.2578278,983,89.70052338,983,0.004354341421,983,100.1313934,983,89.69775391,983,0.005828211084,983,100.1055756,983,0.5117675066,983,0.464833945,983,288.1508789,983,0.03260697052,983,99.61592865,983,96.05157471,983,78.95796204,
982,89.45722961,982,0.003578615841,982,100.3083496,982,89.75048065,982,0.004064726178,982,100.1071091,982,89.6656189,982,0.004906703252,982,100.1423721,982,0.5087798238,982,0.4640465975,982,288.2684326,982,0.03695550933,982,99.57415009,982,96.02674103,982,78.93099976,
981,89.54346466,981,0.004349919967,981,100.2335052,981,89.76304626,981,0.002550313249,981,100.1239548,981,89.63867188,981,0.006062431261,981,100.2095184,981,0.5075792074,981,0.4708487093,981,288.3440552,981,0.03037484922,981,99.60282135,981,96.01611328,981,78.95838928,
980,89.59036255,980,0.008095035329,980,100.1840744,980,89.82112122,980,0.00469010463,980,100.1087875,980,89.645401,980,0.004623424727,980,100.2319183,980,0.5149475336,980,0.4717450738,980,288.2337646,980,0.03290455788,980,99.61026764,980,96.0337677,980,78.92453766,
979,89.56567383,979,0.006161103956,979,100.2576675,979,89.87435913,979,0.007133815903,979,100.0808716,979,89.63716888,979,0.005859935191,979,100.3039474,979,0.5157049894,979,0.473436445,979,288.3146362,979,0.035525769,979,99.60086823,979,96.00791168,979,78.96517181,
978,89.61914063,978,0.001294470858,978,100.1950531,978,89.89060211,978,0.002969846828,978,100.0892258,978,89.73055267,978,0.009969945997,978,100.1993561,978,0.5079907775,978,0.4753341973,978,288.3852844,978,0.03182403743,978,99.61717987,978,96.03029633,978,78.89945984,
977,89.66534424,977,0.00624101609,977,100.1518097,977,89.95633698,977,0.004259607289,977,99.94631195,977,89.67803955,977,0.003790299874,977,100.2824173,977,0.5247550011,977,0.4822829664,977,288.4402466,977,0.03432460129,977,99.61582184,977,95.98136902,977,78.93122101,
976,89.64739227,976,0.003405434079,976,100.1532669,976,89.94869232,976,0.01515534427,976,99.98737335,976,89.59644318,976,0.005294346716,976,100.3541794,976,0.5243019462,976,0.4788152874,976,288.5512695,976,0.03359080851,976,99.61035156,976,96.00905609,976,78.9076004,
975,89.65390015,975,0.004612524528,975,100.1838226,975,89.99054718,975,0.006911595818,975,99.88394165,975,89.74812317,975,0.003660928691,975,100.1958237,975,0.5276274681,975,0.4838356376,975,288.5580139,975,0.03493355587,975,99.64407349,975,95.99139404,975,78.91872406,
