Wavelength (nm),%T
1000,0.965278468
999,0.964925489
998,0.964703072
997,0.965074058
996,0.96484269
995,0.964651534
994,0.96449967
993,0.964758695
992,0.964501268
991,0.964208128
990,0.964771311
989,0.964248923
988,0.964660299
987,0.964245685
986,0.964552677
985,0.964247588
984,0.964246425
983,0.964219036
982,0.964374197
981,0.963989895
980,0.964095067
979,0.963926454
978,0.963993324
977,0.963515306
976,0.963846172
975,0.963342733
974,0.963518616
973,0.963370448
972,0.963521173
971,0.963288882
970,0.962802768
969,0.96292725
968,0.962885464
967,0.962665098
966,0.962708935
965,0.962589223
964,0.962822054
963,0.962244363
962,0.962637075
961,0.962181331
960,0.962165788
959,0.962158817
958,0.961946382
957,0.962266443
956,0.962107338
955,0.962019549
954,0.961701024
953,0.961764337
952,0.961688743
951,0.961435016
950,0.961766707
949,0.961169264
948,0.961563263
947,0.96135569
946,0.961367728
945,0.961072748
944,0.960897233
943,0.960920624
942,0.960608827
941,0.961004898
940,0.960765588
939,0.960430723
938,0.960782692
937,0.960305487
936,0.960338208
935,0.960176888
934,0.960259538
933,0.960330198
932,0.959835937
931,0.960104994
930,0.959441813
929,0.959970922
928,0.959561556
927,0.959180626
926,0.959364673
925,0.959203114
924,0.959172299
923,0.958972813
922,0.958495705
921,0.958692296
920,0.9583375
919,0.958289741
918,0.958047026
917,0.958124727
916,0.957944415
915,0.957947198
914,0.957983214
913,0.95749742
912,0.957895947
911,0.957280602
910,0.957324909
909,0.957063423
908,0.957056275
907,0.956966206
906,0.956686146
905,0.956785325
904,0.956334907
903,0.956231259
902,0.956471383
901,0.95579667
900,0.955884917
899,0.955291359
898,0.955613632
897,0.955523517
896,0.955306144
895,0.955319234
894,0.955283866
893,0.955107329
892,0.954721096
891,0.954345824
890,0.954397593
889,0.953705575
888,0.954318509
887,0.953571214
886,0.953566754
885,0.952917113
884,0.952509158
883,0.952718007
882,0.952309131
881,0.951861228
880,0.950865324
879,0.950912072
878,0.950636266
877,0.949250707
876,0.949446034
875,0.948068769
874,0.947791867
873,0.94699007
872,0.946153229
871,0.944870654
870,0.944197361
869,0.943529963
868,0.942594567
867,0.941306611
866,0.941166654
865,0.939487585
864,0.939017763
863,0.937354828
862,0.936537417
861,0.933610986
860,0.933065636
859,0.930710732
858,0.92926032
857,0.929527523
856,0.929373727
855,0.929785605
854,0.928973864
853,0.928948891
852,0.928783669
851,0.928274118
850,0.928610764
849,0.925845512
848,0.925826582
847,0.925202112
846,0.925224886
845,0.925026722
844,0.924782464
843,0.924447001
842,0.925745724
841,0.926122744
840,0.925336331
839,0.925517928
838,0.925258204
837,0.924967903
836,0.925123114
835,0.92408963
834,0.924792093
833,0.924053994
832,0.923992664
831,0.923898475
830,0.923034645
829,0.923258976
828,0.922681676
827,0.922982084
826,0.922580327
825,0.922340927
824,0.922117597
823,0.921782347
822,0.921803393
821,0.921237784
820,0.921340308
819,0.920815366
818,0.920408201
817,0.920770867
816,0.920435317
815,0.919977051
814,0.920183239
813,0.919959097
812,0.919880872
811,0.91924519
810,0.919833007
809,0.919466643
808,0.91922109
807,0.91905437
806,0.918971425
805,0.918820718
804,0.918564096
803,0.918437457
802,0.917986533
801,0.917788636
800,0.917764586
799,0.917632722
