Wavelength (nm),%T
1000,0.00430701
999,0.004277014
998,0.004380295
997,0.004424722
996,0.004392388
995,0.004448997
994,0.00445278
993,0.004467953
992,0.004485283
991,0.004457867
990,0.004514036
989,0.004492654
988,0.004541556
987,0.004562133
986,0.004511983
985,0.004676437
984,0.00457526
983,0.004643437
982,0.004633869
981,0.004698643
980,0.004706535
979,0.004720018
978,0.004743885
977,0.004809248
976,0.004771254
975,0.0048289
974,0.004890407
973,0.004859624
972,0.004899602
971,0.00483713
970,0.005012166
969,0.005068574
968,0.005062763
967,0.005067586
966,0.004998632
965,0.004998257
964,0.005128792
963,0.005135309
962,0.005136121
961,0.005258166
960,0.00525515
959,0.005292608
958,0.005226312
957,0.005312489
956,0.005247326
955,0.005337994
954,0.005366149
953,0.005401915
952,0.005406681
951,0.005485027
950,0.005438103
949,0.005514332
948,0.005520928
947,0.005555407
946,0.005572238
945,0.005649719
944,0.005580517
943,0.005745052
942,0.005737229
941,0.005700789
940,0.005781806
939,0.005832089
938,0.005869583
937,0.005851667
936,0.005924722
935,0.005953605
934,0.00599634
933,0.006030139
932,0.006121149
931,0.00605415
930,0.006152424
929,0.006127937
928,0.006196413
927,0.006156503
926,0.006283905
925,0.006394022
924,0.006322433
923,0.006319801
922,0.00640567
921,0.006456704
920,0.006446297
919,0.006449457
918,0.006494786
917,0.006585426
916,0.006594447
915,0.006643175
914,0.006647389
913,0.006704257
912,0.006764803
911,0.006804916
910,0.006782113
909,0.006862347
908,0.006913075
907,0.006958812
906,0.006958776
905,0.006951809
904,0.007082056
903,0.007121685
902,0.007164132
901,0.007186887
900,0.007286789
899,0.007212808
898,0.0074983
897,0.007423824
896,0.007529556
895,0.007481491
894,0.007436938
893,0.00765052
892,0.007670029
891,0.007574529
890,0.007786463
889,0.007819493
888,0.007830188
887,0.007818086
886,0.007960717
885,0.007886413
884,0.007990069
883,0.008118868
882,0.008119729
881,0.008178505
880,0.008224683
879,0.008245412
878,0.008406957
877,0.008345688
876,0.008386406
875,0.008468565
874,0.008552851
873,0.008605542
872,0.00871031
871,0.008636567
870,0.008648283
869,0.008915098
868,0.008912504
867,0.008963714
866,0.008993372
865,0.0090663
864,0.009106337
863,0.009142919
862,0.009187139
861,0.009271392
860,0.009437167
859,0.009487754
858,0.009554712
857,0.009660964
856,0.009686066
855,0.009710622
854,0.009827824
853,0.009777272
852,0.00990132
851,0.009970935
850,0.010088702
849,0.01015605
848,0.010136922
847,0.010254965
846,0.010370155
845,0.010433624
844,0.010447466
843,0.010566736
842,0.010692394
841,0.010716088
840,0.010752042
839,0.010971273
838,0.010924436
837,0.011038868
836,0.011080495
835,0.011263359
834,0.011333975
833,0.011393333
832,0.011513712
831,0.011515112
830,0.011726082
829,0.011779837
828,0.011853563
827,0.012097509
826,0.011983567
825,0.012130341
824,0.01228822
823,0.012366447
822,0.012403476
821,0.012603392
820,0.012675071
819,0.012708813
818,0.012812802
817,0.012875168
816,0.013151901
815,0.013093737
814,0.013178008
813,0.013353179
812,0.013363439
811,0.013543507
810,0.013653098
809,0.013773816
808,0.013746627
807,0.014032342
806,0.014127165
805,0.01421853
804,0.01429296
803,0.014471655
802,0.014511927
801,0.01474476
800,0.014810619
799,0.014956167
798,0.014669043
797,0.01480094
796,0.014952822
795,0.015078381
794,0.015167324
793,0.015285951
792,0.015494448
791,0.015596512
790,0.015790102
789,0.015971451
788,0.016003857
787,0.01613327
786,0.016329887
785,0.016362425
784,0.016628529
783,0.016678432
782,0.016903491
781,0.017016623
780,0.017135418
779,0.017345122
778,0.017476266
777,0.017630045
776,0.017787003
775,0.017981151
774,0.01814597
773,0.018296532
772,0.018492214
771,0.01863747
770,0.018843435
769,0.019003173
768,0.019225417
767,0.019401029
766,0.019611033
765,0.019774688
764,0.02002086
763,0.020202694
762,0.020343397
761,0.020600607
760,0.020804124
759,0.0209849
758,0.021254467
757,0.021398665
756,0.021665668
755,0.021891742
754,0.022085395
753,0.022295438
752,0.022502261
751,0.02275251
750,0.022986503
749,0.023267721
748,0.023492726
747,0.023749628
746,0.024021204
745,0.024229324
744,0.024521182
743,0.024784996
742,0.025029476
741,0.025314039
740,0.02556886
739,0.025835662
738,0.026160239
737,0.026394058
736,0.026705445
735,0.027042292
734,0.027300537
733,0.027556382
732,0.027919
731,0.028233227
730,0.028559751
729,0.028907775
728,0.02923731
727,0.029552419
726,0.029938928
725,0.030303697
724,0.030636945
723,0.031002469
722,0.031389204
721,0.031740572
720,0.032135042
719,0.032555418
718,0.032937191
717,0.033351468
716,0.033709763
715,0.034140233
714,0.034606812
713,0.034953905
712,0.035336862
711,0.03578259
710,0.036251702
709,0.036727814
708,0.037150072
707,0.037597668
706,0.038145482
705,0.038624118
704,0.039126001
703,0.03958259
702,0.040151323
701,0.040643348
700,0.041172787
699,0.041795465
698,0.042318041
697,0.04290278
696,0.043497617
695,0.044126969
694,0.044782565
693,0.045322717
692,0.045921572
691,0.046576504
690,0.047240296
689,0.047904012
688,0.048540297
687,0.049294104
686,0.049948338
685,0.050646368
684,0.051342481
683,0.052149876
682,0.052926658
681,0.053684944
680,0.05446231
679,0.055301638
678,0.0561192
677,0.056984954
676,0.057831466
675,0.05867372
674,0.059605992
673,0.060542423
672,0.061439142
671,0.062440238
670,0.063427587
669,0.064345023
668,0.065373045
667,0.066393563
666,0.067540705
665,0.068520145
664,0.069601114
663,0.070793021
662,0.071973053
661,0.073091358
660,0.074332214
659,0.075551434
658,0.076795793
657,0.078124172
656,0.079447145
655,0.08078457
654,0.082257813
653,0.083700364
652,0.085165801
651,0.086663862
650,0.088199412
649,0.089703341
648,0.091242877
647,0.092978633
646,0.094638087
645,0.096431986
644,0.098153296
643,0.099904468
642,0.101773107
641,0.10355596
640,0.105512904
639,0.107456753
638,0.109588786
637,0.111703335
636,0.113795509
635,0.115983308
634,0.118228233
633,0.120515549
632,0.122898768
631,0.125363603
630,0.127919969
629,0.130398496
628,0.13302621
627,0.135713399
626,0.138460917
625,0.141292829
624,0.144128435
623,0.147172648
622,0.150303287
621,0.15347423
620,0.156575817
619,0.159994255
618,0.163450404
617,0.166890243
616,0.170552814
615,0.174062002
614,0.17796003
613,0.181693194
612,0.18548889
611,0.189676898
610,0.193647818
609,0.198039172
608,0.202345901
607,0.206978139
606,0.211683544
605,0.216512091
604,0.221604929
603,0.226550573
602,0.231857511
601,0.23703086
600,0.242631736
599,0.248413617
598,0.2542081
597,0.26013132
596,0.265826153
595,0.272077769
594,0.278492046
593,0.285116685
592,0.291560062
591,0.298305483
590,0.305306852
589,0.312726133
588,0.320095223
587,0.327260108
586,0.335270593
585,0.342725194
584,0.350605058
583,0.358939816
582,0.367150248
581,0.376796949
580,0.385105367
579,0.394350985
578,0.403022451
577,0.412152649
576,0.421050991
575,0.430927359
574,0.440407406
573,0.449735054
572,0.459227671
571,0.468913889
570,0.47799824
569,0.488204694
568,0.497717001
567,0.507594307
566,0.516991721
565,0.526906692
564,0.536518155
563,0.546403844
562,0.556226001
561,0.565655766
560,0.574680297
559,0.584210956
558,0.593018927
557,0.60185225
556,0.610131879
555,0.618665504
554,0.626362636
553,0.633964139
552,0.641265839
551,0.648206541
550,0.655025075
549,0.661042651
548,0.66579935
547,0.671756102
546,0.676156132
545,0.680705998
544,0.684399139
543,0.687594397
542,0.690161819
541,0.692516379
540,0.693685569
539,0.695476534
538,0.696100933
537,0.696101787
536,0.696323373
535,0.695661704
534,0.694636765
533,0.693289043
532,0.690395314
531,0.687937564
530,0.684572105
529,0.681031461
528,0.677414937
527,0.673786066
526,0.669634149
525,0.664536218
524,0.659082226
523,0.653550724
522,0.647910415
521,0.642287352
520,0.636117852
519,0.630058951
518,0.624101878
517,0.61741891
516,0.610352748
515,0.604364912
514,0.597306719
513,0.590122658
512,0.583393259
511,0.576711385
510,0.569730849
509,0.562550192
508,0.555896888
507,0.548783504
506,0.542035049
505,0.534901252
504,0.528732973
503,0.521604412
502,0.514659317
501,0.508076804
500,0.501424782
499,0.494275571
498,0.488558086
497,0.482033655
496,0.475931991
495,0.469970788
494,0.463862525
493,0.458213135
492,0.452437029
491,0.44668796
490,0.441205363
489,0.435498719
488,0.4305133
487,0.425535106
486,0.420236781
485,0.415448522
484,0.410346363
483,0.405651683
482,0.401075699
481,0.396521963
480,0.39192243
479,0.387560475
478,0.383106176
477,0.37894203
476,0.373772001
475,0.370815875
474,0.366991609
473,0.363029165
472,0.358488064
471,0.354792925
470,0.351095239
469,0.348279383
468,0.344697964
467,0.34139206
466,0.338444951
465,0.335216587
464,0.332344
463,0.329363023
462,0.327054098
461,0.324065907
460,0.321499139
459,0.319101308
458,0.316327872
457,0.314194542
456,0.311664639
455,0.309765681
454,0.307704642
453,0.305559496
452,0.303897459
451,0.301842561
450,0.300205491
449,0.29817854
448,0.296752917
447,0.295506252
446,0.293760643
445,0.292184413
444,0.29086064
443,0.289619953
442,0.288292568
441,0.28718732
440,0.285914491
439,0.284905218
438,0.284098188
437,0.28284117
436,0.282007026
435,0.281084552
434,0.280221247
433,0.279477752
432,0.278848941
431,0.278270006
430,0.277730968
429,0.277496718
428,0.276819192
427,0.276741433
426,0.276132034
425,0.276187321
424,0.276153424
423,0.275759417
422,0.275842418
421,0.275994397
420,0.275811743
419,0.276403119
418,0.276137651
417,0.276915942
416,0.276605839
415,0.277911802
414,0.278070954
413,0.278677223
412,0.279378791
411,0.279651612
410,0.28066127
409,0.281274642
408,0.282371355
407,0.283266269
406,0.283789822
405,0.28506139
404,0.285756064
403,0.28702442
402,0.287668006
401,0.289396958
400,0.290114946
399,0.291086794
398,0.292565805
397,0.293480187
396,0.294687116
395,0.295705011
394,0.296970774
393,0.297840196
392,0.299473244
391,0.300521572
390,0.301403223
389,0.302566533
388,0.303400504
387,0.30450519
386,0.305889174
385,0.306586096
384,0.308096183
383,0.309031104
382,0.310296
381,0.312368348
380,0.313317833
379,0.31536568
378,0.316744506
377,0.319154644
376,0.32125002
375,0.323791722
374,0.32581287
373,0.327916599
372,0.330221158
371,0.33225638
370,0.334621832
369,0.336416451
368,0.33883025
367,0.341635293
366,0.343721557
365,0.34662118
364,0.349567163
363,0.351926632
362,0.35448741
361,0.358122194
360,0.361564904
359,0.364969908
358,0.369087512
357,0.371901241
356,0.375427576
355,0.379886237
354,0.383519189
353,0.388331647
352,0.392621205
351,0.397338867
350,0.402092353
349,0.406684686
348,0.412014539
347,0.418472469
346,0.42292577
345,0.428380319
344,0.433538021
343,0.439063477
342,0.443829772
341,0.448407148
340,0.452860591
339,0.455902426
338,0.45948568
337,0.461258894
336,0.463158349
335,0.462663956
334,0.461900718
333,0.46006839
332,0.455583567
331,0.450517082
330,0.442888859
329,0.43439332
328,0.422719617
327,0.41000553
326,0.395732015
325,0.379880888
324,0.361990919
323,0.34305623
322,0.323368708
321,0.301495002
320,0.279509265
319,0.256546241
318,0.234229684
317,0.211388514
316,0.18928899
315,0.167911391
314,0.147236057
313,0.127785835
312,0.109389499
311,0.092878488
310,0.077586648
309,0.064346938
308,0.052282423
307,0.042237862
306,0.033601374
305,0.026240304
304,0.020384392
303,0.015562279
302,0.011788053
301,0.00879354
300,0.00649715
