Wavelength (nm),%T
1000,0.793988594
999,0.792869699
998,0.793346388
997,0.793248708
996,0.793025205
995,0.79292622
994,0.792799251
993,0.793305302
992,0.79266286
991,0.792768442
990,0.792804224
989,0.792910443
988,0.79276645
987,0.792521525
986,0.793089062
985,0.79252504
984,0.792798331
983,0.792623862
982,0.792685649
981,0.792732457
980,0.792333356
979,0.792816099
978,0.792026636
977,0.79235627
976,0.792162653
975,0.792006201
974,0.792098223
973,0.791661235
972,0.791706563
971,0.791534993
970,0.791466064
969,0.791399324
968,0.791172007
967,0.791189643
966,0.790848448
965,0.790968304
964,0.790772329
963,0.790620459
962,0.790572258
961,0.790448483
960,0.790382364
959,0.790042434
958,0.790259002
957,0.789918832
956,0.789886938
955,0.789742569
954,0.789813686
953,0.789771321
952,0.789665691
951,0.789383246
950,0.789483334
949,0.789458725
948,0.789098816
947,0.789179265
946,0.788972895
945,0.788949003
944,0.788539306
943,0.788858629
942,0.788555845
941,0.788533366
940,0.788406658
939,0.787895201
938,0.788253858
937,0.787883426
936,0.787497756
935,0.787455317
934,0.78732538
933,0.787295471
932,0.78663327
931,0.786975367
930,0.786471218
929,0.786431647
928,0.785769888
927,0.785887559
926,0.785546818
925,0.785206495
924,0.784984325
923,0.784604648
922,0.784139503
921,0.784349138
920,0.783748781
919,0.783519892
918,0.783077091
917,0.782789944
916,0.782386034
915,0.782092699
914,0.782016333
913,0.781123929
912,0.781235326
911,0.780409326
910,0.780368106
909,0.779556714
908,0.779492791
907,0.778522518
906,0.778448921
905,0.777599302
904,0.777293919
903,0.776394372
902,0.775981501
901,0.77512774
900,0.774083055
899,0.773513083
898,0.773248802
897,0.772021279
896,0.771287783
895,0.769708272
894,0.769288481
893,0.767403501
892,0.766788813
891,0.764279418
890,0.763434198
889,0.761137955
888,0.760194036
887,0.757174794
886,0.755826699
885,0.752330599
884,0.748644532
883,0.746367338
882,0.743918502
881,0.739767264
880,0.734985646
879,0.729720198
878,0.723770688
877,0.717904895
876,0.717429355
875,0.71805
874,0.718285292
873,0.719409249
872,0.719807804
871,0.720878144
870,0.71972312
869,0.721462732
868,0.721857473
867,0.723459655
866,0.724001463
865,0.725594383
864,0.726306429
863,0.727558317
862,0.728401417
861,0.729680901
860,0.730145686
859,0.731558592
858,0.731349474
857,0.732658573
856,0.732148861
855,0.732798779
854,0.73231535
853,0.733261281
852,0.732883145
851,0.733173298
850,0.733365394
849,0.733340447
848,0.733549639
847,0.733849803
846,0.733908605
845,0.734426724
844,0.734494588
843,0.734390119
842,0.736477304
841,0.736875453
840,0.737011286
839,0.737336973
838,0.738056337
837,0.738397502
836,0.738767484
835,0.738549677
834,0.739305921
833,0.739374281
832,0.74007481
831,0.73998505
830,0.740285588
829,0.740511274
828,0.740773112
827,0.741249717
826,0.741283077
825,0.741671293
824,0.741583234
823,0.741897628
822,0.741934511
821,0.74205742
820,0.742596256
819,0.742111774
818,0.74210627
817,0.742314396
816,0.742696297
815,0.742659404
814,0.74255208
813,0.742524613
812,0.742556097
811,0.742589743
810,0.742410929
809,0.742715297
808,0.741992699
807,0.74198458
806,0.742109153
805,0.741345023
804,0.741524477
803,0.740979913
802,0.740736865
801,0.740112652
800,0.739971089
799,0.739361493
798,0.775745207
797,0.775581841
796,0.775815953
795,0.77577987
794,0.776629051
793,0.777004905
792,0.776789029
791,0.777066539
790,0.77663755
789,0.776621592
788,0.776625902
787,0.777012425
786,0.776752531
785,0.776804172
784,0.776778103
783,0.77668125
782,0.776967581
781,0.77652581
780,0.77669066
779,0.776335952
778,0.776382357
777,0.776657329
776,0.776229776
775,0.776411144
774,0.776443893
773,0.776444097
772,0.776633094
771,0.776143335
770,0.776297771
769,0.776152332
768,0.775883385
767,0.77621654
766,0.776189256
765,0.775960413
764,0.775931001
763,0.776075826
762,0.776018938
761,0.775756326
760,0.775501732
759,0.775742007
758,0.77556653
757,0.775981554
756,0.775688214
755,0.775310077
754,0.77513494
753,0.774810761
752,0.774894245
751,0.775322703
750,0.774911289
749,0.774734097
748,0.774702885
747,0.774251323
746,0.773961817
745,0.773993888
744,0.773654195
743,0.773241519
742,0.773042329
741,0.773161851
740,0.773169936
739,0.77253315
738,0.772228904
737,0.772003896
736,0.771771656
735,0.771344124
734,0.771647663
733,0.771246267
732,0.771148872
731,0.770468287
730,0.770722301
729,0.770126078
728,0.769821923
